[04-Feb-2020 18:43:55 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:44:35 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:44:45 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:45:00 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:45:12 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:45:24 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:45:54 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:46:18 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:46:28 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:46:55 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:47:11 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:48:10 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:48:21 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:48:31 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:48:40 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:48:55 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:49:05 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 18:49:06 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:50:54 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:51:11 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:51:42 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:51:54 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:53:05 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:53:23 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 19:56:10 Europe/Rome] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 19
[04-Feb-2020 19:56:29 Europe/Rome] PHP Notice:  Undefined index: qruser in /var/www/html/Logout/index.php on line 20
[04-Feb-2020 19:56:46 Europe/Rome] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 19
[04-Feb-2020 19:57:23 Europe/Rome] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 19
[04-Feb-2020 19:58:55 Europe/Rome] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 19
[04-Feb-2020 19:59:11 Europe/Rome] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 19
[04-Feb-2020 19:59:20 Europe/Rome] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 19
[04-Feb-2020 19:59:57 Europe/Rome] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 19
[04-Feb-2020 20:00:38 Europe/Rome] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 20:01:54 Europe/Rome] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:09:34 UTC] PHP Notice:  Undefined index: qruser in /var/www/html/Logout/index.php on line 20
[04-Feb-2020 19:09:44 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:10:04 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:11:04 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:11:25 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:11:54 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:12:39 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:13:12 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
